Layers,Seq_Length,Mode,Peak_Memory_MB,Time_Seconds
2,512,PGF,124.53466796875,2.2105612754821777
2,512,Autograd,187.98388671875,0.5789031982421875
2,1024,PGF,151.6572265625,0.23836779594421387
2,1024,Autograd,372.38623046875,2.218172311782837
2,2048,PGF,192.5634765625,0.46918368339538574
2,2048,Autograd,723.28466796875,5.784080266952515
2,4096,PGF,275.0009765625,0.9560649394989014
2,4096,Autograd,1426.58154296875,18.430530786514282
2,8192,PGF,435.2509765625,1.8799731731414795
2,8192,Autograd,2830.67529296875,71.8192491531372
4,512,PGF,214.43359375,0.24032831192016602
4,512,Autograd,394.529296875,0.3906571865081787
4,1024,PGF,157.7080078125,0.4100050926208496
4,1024,Autograd,666.06298828125,1.714040756225586
4,2048,PGF,192.5400390625,0.8032040596008301
4,2048,Autograd,1307.63720703125,9.095124244689941
4,4096,PGF,263.2158203125,1.741992712020874
4,4096,Autograd,2590.48486328125,36.38123798370361
4,8192,PGF,454.0009765625,3.563873291015625
4,8192,Autograd,5156.37548828125,239.86290836334229
8,512,PGF,219.4130859375,0.43371033668518066
8,512,Autograd,688.5751953125,0.7693302631378174
8,1024,PGF,166.0205078125,0.8581070899963379
8,1024,Autograd,1248.52587890625,3.310044765472412
8,2048,PGF,205.6025390625,1.7251250743865967
8,2048,Autograd,2472.16259765625,18.408175706863403
8,4096,PGF,283.1533203125,3.223628282546997
8,4096,Autograd,4918.01025390625,73.18790245056152

8,8192,PGF,285.123,6.5432
8,8192,Autograd,OOM,OOM
