Layers,Step,Autograd_Loss,PGF_Loss,Auto_Time,Auto_Mem_MB,PGF_Time,PGF_Mem_MB
2,0,5.803908348083496,5.803908824920654,1.0493333339691162,179.27490234375,2.1976890563964844,36.2646484375
2,1,5.538840293884277,5.539006233215332,0.8815038204193115,188.80908203125,0.3414335250854492,50.00537109375
2,2,5.326090335845947,5.326383590698242,0.37149643898010254,188.80908203125,0.30141425132751465,44.0654296875
2,3,4.919252395629883,4.92093563079834,0.352308988571167,188.80908203125,0.43791842460632324,50.06787109375
2,4,4.603692054748535,4.605621337890625,0.33040571212768555,188.80908203125,0.3459339141845703,44.0654296875
2,5,4.031169891357422,4.033807754516602,0.31986212730407715,188.80908203125,0.44334888458251953,50.06787109375
2,6,3.8959503173828125,3.8970069885253906,0.33150720596313477,188.80908203125,0.3249657154083252,44.0654296875
2,7,3.6161868572235107,3.6165871620178223,0.34862375259399414,188.80908203125,0.4747800827026367,50.06787109375
2,8,3.599978446960449,3.598057746887207,0.34215235710144043,188.80908203125,0.48707079887390137,44.0654296875
2,9,3.341588020324707,3.3416781425476074,0.6403706073760986,188.80908203125,1.0093803405761719,50.06787109375
2,10,3.406250238418579,3.4042301177978516,0.6561355590820312,188.80908203125,0.5699670314788818,44.0654296875
2,11,3.2165136337280273,3.215282440185547,0.5779621601104736,188.80908203125,0.6490709781646729,50.06787109375
2,12,3.1098878383636475,3.108888864517212,0.5821027755737305,188.80908203125,0.5873029232025146,44.0654296875
2,13,3.0978729724884033,3.097546100616455,0.629239559173584,188.80908203125,0.6851375102996826,50.06787109375
2,14,3.504910469055176,3.504761219024658,0.5738945007324219,188.80908203125,0.5477089881896973,44.0654296875
2,15,2.98574161529541,2.984923839569092,0.6159448623657227,188.80908203125,0.7986562252044678,50.06787109375
2,16,3.0604188442230225,3.060019016265869,0.6151483058929443,188.80908203125,0.5877516269683838,44.0654296875
2,17,3.1907691955566406,3.188997983932495,0.5773193836212158,188.80908203125,0.763638973236084,50.06787109375
2,18,3.047321319580078,3.045745611190796,0.6231951713562012,188.80908203125,0.5492017269134521,44.0654296875
2,19,3.0094563961029053,3.008943557739258,0.5899803638458252,188.80908203125,0.7737030982971191,50.06787109375
2,20,3.0460121631622314,3.045750856399536,0.6634700298309326,188.80908203125,0.6277530193328857,44.0654296875
2,21,2.9520463943481445,2.9522173404693604,0.5652811527252197,188.80908203125,0.7155756950378418,50.06787109375
2,22,3.0230414867401123,3.023332357406616,0.6242859363555908,188.80908203125,0.5555307865142822,44.0654296875
2,23,2.8720312118530273,2.8726439476013184,0.5531179904937744,188.80908203125,0.7757871150970459,50.06787109375
2,24,2.8813769817352295,2.881535768508911,0.5784051418304443,188.80908203125,0.5800225734710693,44.0654296875
2,25,2.9447288513183594,2.9447829723358154,0.5959630012512207,188.80908203125,0.7770543098449707,50.06787109375
2,26,3.0584158897399902,3.0582332611083984,0.531447172164917,188.80908203125,0.5725016593933105,44.0654296875
2,27,3.2479939460754395,3.247410297393799,0.5101807117462158,188.80908203125,0.7435050010681152,50.06787109375
2,28,3.049285411834717,3.0500895977020264,0.6182641983032227,188.80908203125,0.5775084495544434,44.0654296875
2,29,2.9914121627807617,2.9914493560791016,0.5811107158660889,188.80908203125,0.731285572052002,50.06787109375
2,30,2.8655710220336914,2.864682197570801,0.6320898532867432,188.80908203125,0.5431342124938965,44.0654296875
2,31,2.9565324783325195,2.9563722610473633,0.5262150764465332,188.80908203125,0.767894983291626,50.06787109375
2,32,2.763580083847046,2.7627553939819336,0.5225331783294678,188.80908203125,0.6082553863525391,44.0654296875
2,33,2.9654407501220703,2.9648208618164062,0.5558381080627441,188.80908203125,0.813117504119873,50.06787109375
2,34,2.792926788330078,2.7936086654663086,0.5937075614929199,188.80908203125,0.5371499061584473,44.0654296875
2,35,2.8521435260772705,2.852853298187256,0.5960586071014404,188.80908203125,0.7890527248382568,50.06787109375
2,36,2.876758575439453,2.8772246837615967,0.5816309452056885,188.80908203125,0.5435612201690674,44.0654296875
2,37,2.737649917602539,2.7377803325653076,0.6020216941833496,188.80908203125,0.7961230278015137,50.06787109375
