L,seed,direction,ag_time,ag_mem,jvp_time,jvp_mem,pgf_time,pgf_mem,rel_err,ag_ok,jvp_ok
10000,1,0,17.140327215194702,1058.9423828125,38.80807161331177,2097.015625,0.864112138748169,137.63525390625,4.889983085973599e-07,True,True
15000,1,0,27.39773964881897,1575.0791015625,55.14449977874756,3125.37890625,1.43955659866333,151.81494140625,1.3789462644166607e-06,True,True
20000,1,0,53.02529764175415,2091.6220703125,115.79048728942871,4155.5546875,2.123607635498047,167.86962890625,5.999442646609941e-07,True,True
